Open,High,Low,Close,Date
927.0,928.99,926.44,928.99,01/01/09 00:00
927.0,928.99,926.44,928.99,01/02/09 00:00
927.0,928.99,926.44,928.99,01/03/09 00:00
927.0,928.99,926.44,928.99,01/04/09 00:00
927.0,928.99,926.44,928.99,01/05/09 00:00
927.0,928.99,926.44,928.99,01/06/09 00:00
927.0,928.99,926.44,928.99,01/07/09 00:00
927.0,928.99,926.44,928.99,01/08/09 00:00
927.0,928.99,926.44,928.99,01/09/09 00:00
927.0,928.99,926.44,928.99,01/10/09 00:00
927.0,928.99,926.44,928.99,01/11/09 00:00
927.0,928.99,926.44,928.99,01/12/09 00:00
927.0,928.99,926.44,928.99,01/13/09 00:00
927.0,928.99,926.44,928.99,01/14/09 00:00
927.0,928.99,926.44,928.99,01/15/09 00:00
927.0,928.99,926.44,928.99,01/16/09 00:00
927.0,928.99,926.44,928.99,01/17/09 00:00
927.0,928.99,926.44,928.99,01/18/09 00:00
927.0,928.99,926.44,928.99,01/19/09 00:00
927.0,928.99,926.44,928.99,01/20/09 00:00
927.0,928.99,926.44,928.99,01/21/09 00:00
927.0,928.99,926.44,928.99,01/22/09 00:00
927.0,928.99,926.44,928.99,01/23/09 00:00
927.0,928.99,926.44,928.99,01/24/09 00:00
927.0,928.99,926.44,928.99,01/25/09 00:00
927.0,928.99,926.44,928.99,01/26/09 00:00
927.0,928.99,926.44,928.99,01/27/09 00:00
927.0,928.99,926.44,928.99,01/28/09 00:00
927.0,928.99,926.44,928.99,01/29/09 00:00
927.0,928.99,926.44,928.99,01/30/09 00:00
927.0,928.99,926.44,928.99,01/31/09 00:00
927.0,928.99,926.44,928.99,02/01/09 00:00
927.0,928.99,926.44,928.99,02/02/09 00:00
927.0,928.99,926.44,928.99,02/03/09 00:00
927.0,928.99,926.44,928.99,02/04/09 00:00
927.0,928.99,926.44,928.99,02/05/09 00:00
927.0,928.99,926.44,928.99,02/06/09 00:00
927.0,928.99,926.44,928.99,02/07/09 00:00
927.0,928.99,926.44,928.99,02/08/09 00:00
927.0,928.99,926.44,928.99,02/09/09 00:00
927.0,928.99,926.44,928.99,02/10/09 00:00
927.0,928.99,926.44,928.99,02/11/09 00:00
927.0,928.99,926.44,928.99,02/12/09 00:00
927.0,928.99,926.44,928.99,02/13/09 00:00
927.0,928.99,926.44,928.99,02/14/09 00:00
927.0,928.99,926.44,928.99,02/15/09 00:00
927.0,928.99,926.44,928.99,02/16/09 00:00
927.0,928.99,926.44,928.99,02/17/09 00:00
927.0,928.99,926.44,928.99,02/18/09 00:00
927.0,928.99,926.44,928.99,02/19/09 00:00
927.0,928.99,926.44,928.99,02/20/09 00:00
927.0,928.99,926.44,928.99,02/21/09 00:00
927.0,928.99,926.44,928.99,02/22/09 00:00
927.0,928.99,926.44,928.99,02/23/09 00:00
927.0,928.99,926.44,928.99,02/24/09 00:00
927.0,928.99,926.44,928.99,02/25/09 00:00
927.0,928.99,926.44,928.99,02/26/09 00:00
927.0,928.99,926.44,928.99,02/27/09 00:00
927.0,928.99,926.44,928.99,02/28/09 00:00
927.0,928.99,926.44,928.99,03/01/09 00:00
927.0,928.99,926.44,928.99,03/02/09 00:00
927.0,928.99,926.44,928.99,03/03/09 00:00
927.0,928.99,926.44,928.99,03/04/09 00:00
927.0,928.99,926.44,928.99,03/05/09 00:00
927.0,928.99,926.44,928.99,03/06/09 00:00
927.0,928.99,926.44,928.99,03/07/09 00:00
927.0,928.99,926.44,928.99,03/08/09 00:00
927.0,928.99,926.44,928.99,03/09/09 00:00
927.0,928.99,926.44,928.99,03/10/09 00:00
927.0,928.99,926.44,928.99,03/11/09 00:00
927.0,928.99,926.44,928.99,03/12/09 00:00
927.0,928.99,926.44,928.99,03/13/09 00:00
927.0,928.99,926.44,928.99,03/14/09 00:00
927.0,928.99,926.44,928.99,03/15/09 00:00
927.0,928.99,926.44,928.99,03/16/09 00:00
927.0,928.99,926.44,928.99,03/17/09 00:00
927.0,928.99,926.44,928.99,03/18/09 00:00
927.0,928.99,926.44,928.99,03/19/09 00:00
927.0,928.99,926.44,928.99,03/20/09 00:00
927.0,928.99,926.44,928.99,03/21/09 00:00
927.0,928.99,926.44,928.99,03/22/09 00:00
927.0,928.99,926.44,928.99,03/23/09 00:00
927.0,928.99,926.44,928.99,03/24/09 00:00
927.0,928.99,926.44,928.99,03/25/09 00:00
927.0,928.99,926.44,928.99,03/26/09 00:00
927.0,928.99,926.44,928.99,03/27/09 00:00
927.0,928.99,926.44,928.99,03/28/09 00:00
927.0,928.99,926.44,928.99,03/29/09 00:00
927.0,928.99,926.44,928.99,03/30/09 00:00
927.0,928.99,926.44,928.99,03/31/09 00:00
927.0,928.99,926.44,928.99,04/01/09 00:00
927.0,928.99,926.44,928.99,04/02/09 00:00
927.0,928.99,926.44,928.99,04/03/09 00:00
927.0,928.99,926.44,928.99,04/04/09 00:00
927.0,928.99,926.44,928.99,04/05/09 00:00
927.0,928.99,926.44,928.99,04/06/09 00:00
927.0,928.99,926.44,928.99,04/07/09 00:00
927.0,928.99,926.44,928.99,04/08/09 00:00
927.0,928.99,926.44,928.99,04/09/09 00:00
927.0,928.99,926.44,928.99,04/10/09 00:00
