Open,High,Low,Close,Date
881.29999,882.15002,881.29999,882.15002,01/01/09 00:00
882.79999,888.34998,868.09998,876.54999,01/02/09 00:00
882.79999,888.34998,868.09998,876.54999,01/03/09 00:00
882.79999,888.34998,868.09998,876.54999,01/04/09 00:00
878.00000,884.54999,844.50000,859.00000,01/05/09 00:00
859.84998,870.70001,839.54999,864.15002,01/06/09 00:00
864.59998,867.34998,835.79999,841.95001,01/07/09 00:00
843.75000,865.65002,834.50000,858.09998,01/08/09 00:00
857.04999,868.65002,844.90002,853.45001,01/09/09 00:00
857.04999,868.65002,844.90002,853.45001,01/10/09 00:00
857.04999,868.65002,844.90002,853.45001,01/11/09 00:00
854.25000,857.09998,815.65002,821.25000,01/12/09 00:00
820.40002,830.79999,814.09998,822.09998,01/13/09 00:00
821.95001,829.65002,807.40002,811.34998,01/14/09 00:00
811.45001,821.59998,802.65002,816.34998,01/15/09 00:00
819.00000,843.59998,816.84998,843.34998,01/16/09 00:00
819.00000,843.59998,816.84998,843.34998,01/17/09 00:00
819.00000,843.59998,816.84998,843.34998,01/18/09 00:00
844.00000,847.04999,832.70001,836.90002,01/19/09 00:00
835.59998,866.79999,823.90002,856.79999,01/20/09 00:00
855.84998,864.75000,843.50000,855.54999,01/21/09 00:00
855.00000,863.20001,843.95001,857.54999,01/22/09 00:00
856.59998,903.50000,852.79999,899.40002,01/23/09 00:00
856.59998,903.50000,852.79999,899.40002,01/24/09 00:00
856.59998,903.50000,852.79999,899.40002,01/25/09 00:00
898.90002,916.29999,889.54999,904.09998,01/26/09 00:00
903.59998,907.90002,892.50000,898.00000,01/27/09 00:00
898.65002,904.40002,880.59998,886.65002,01/28/09 00:00
886.40002,909.50000,868.84998,908.15002,01/29/09 00:00
907.90002,931.40002,901.79999,927.75000,01/30/09 00:00
907.90002,931.40002,901.79999,927.75000,01/31/09 00:00
907.90002,931.40002,901.79999,927.75000,02/01/09 00:00
927.95001,929.20001,901.70001,902.25000,02/02/09 00:00
904.29999,913.09998,888.00000,902.59998,02/03/09 00:00
901.29999,909.70001,895.50000,906.40002,02/04/09 00:00
905.70001,925.00000,902.59998,915.75000,02/05/09 00:00
914.70001,922.50000,904.25000,911.54999,02/06/09 00:00
914.70001,922.50000,904.25000,911.54999,02/07/09 00:00
914.70001,922.50000,904.25000,911.54999,02/08/09 00:00
910.65002,912.70001,891.20001,895.50000,02/09/09 00:00
895.95001,919.00000,891.20001,917.25000,02/10/09 00:00
915.45001,947.25000,911.00000,939.15002,02/11/09 00:00
939.20001,952.79999,935.29999,947.90002,02/12/09 00:00
946.00000,947.65002,932.40002,942.09998,02/13/09 00:00
946.00000,947.65002,932.40002,942.09998,02/14/09 00:00
946.00000,947.65002,932.40002,942.09998,02/15/09 00:00
941.70001,944.54999,936.45001,942.04999,02/16/09 00:00
942.00000,974.20001,940.34998,970.15002,02/17/09 00:00
969.40002,985.65002,960.79999,985.00000,02/18/09 00:00
985.40002,986.95001,968.90002,974.84998,02/19/09 00:00
974.65002,1006.40002,970.59998,993.29999,02/20/09 00:00
974.65002,1006.40002,970.59998,993.29999,02/21/09 00:00
974.65002,1006.40002,970.59998,993.29999,02/22/09 00:00
993.50000,998.34998,976.00000,993.25000,02/23/09 00:00
